i_cusip_id,issuer,issue,model,sp_exp,idio_risk
1,F75317,00037BAB8,5957,12854.1,359.4441
2,F75317,00037BAC6,5957,9329.62,941.1692
3,F75317,00037BAE2,5957,4740.4,199.869
4,F75317,00037BAF9,5957,8501.72,352.5288
5,R48392,001055AJ1,5950,3656.09,100.0851
6,R48392,001055AL6,5950,7424.18,258.632
7,R48392,001055AM4,5950,8056.48,334.0146
8,R48392,001055AP7,5950,4794.81,216.76
9,R48392,001055AQ5,5950,3137.98,135.5614
10,R48392,001055AR3,5950,4477.72,524.1387
